eid,pid,total_V1_channels,total_bad_channels,total_channels_VISp1,total_channels_VISp2/3,total_channels_VISp4,total_channels_VISp5,total_channels_VISp6a,total_channels_VISp6b,multiple_pids,total trials,num_late_movement,total bad trials
5ae68c54-2897-4d3a-8120-426150704385,a8a59fc3-a658-4db4-b5e8-09f1e4df03fd,38,0,0,0,6,6,20,6,0,740.0,20.0,177.0
5d01d14e-aced-4465-8f8e-9a1c674f62ec,c84144db-4498-4627-b72a-975a6b618715,78,3,4,22,14,20,14,4,0,554.0,285.0,4.0
7416f387-b302-4ca3-8daf-03b585a1b7ec,caf2170c-5463-46ce-8cd0-66f2e1e3376d,14,0,0,0,0,14,0,0,0,476.0,18.0,3.0
83e77b4b-dfa0-4af9-968b-7ea0c7a0c7e4,220bca21-4cf8-43f1-a213-71645899c571,54,11,12,22,12,8,0,0,0,907.0,39.0,672.0
872ce8ff-9fb3-485c-be00-bc5479e0095b,0a0184b3-9e1a-4c36-98f4-00ae3beb8f01,32,0,2,30,0,0,0,0,0,443.0,46.0,65.0
e0928e11-2b86-4387-a203-80c77fab5d52,fdeff6df-7216-4b83-ab64-241e9fd173da,92,0,12,24,10,26,16,4,1,474.0,119.0,4.0
e0928e11-2b86-4387-a203-80c77fab5d52,799d899d-c398-4e81-abaf-1ef4b02d5475,80,0,0,0,10,32,30,8,1,474.0,119.0,436.0
e349a2e7-50a3-47ca-bc45-20d1899854ec,3bd1f88b-4e0c-43a6-9483-3305e82f2fae,60,12,14,16,12,18,0,0,0,1022.0,116.0,818.0
bda2faf5-9563-4940-a80f-ce444259e47b,29418b18-4db6-436f-a85e-b0f1d38d2e62,80,1,26,38,16,0,0,0,0,545.0,8.0,19.0
bb099402-fb31-4cfd-824e-1c97530a0875,b83407f8-8220-46f9-9b90-a4c9f150c572,18,7,0,0,0,0,14,4,0,,,
